10 3000
1 1 0
1 2 3270
1 3 4575
1 4 6366
1 5 2916
1 6 5281
1 7 4129
1 8 6210
1 9 7319
1 10 3097
2 1 3270
2 2 0
2 3 2186
2 4 3365
2 5 1970
2 6 3672
2 7 2657
2 8 3675
2 9 4133
2 10 504
3 1 4575
3 2 2186
3 3 0
3 4 2006
3 5 1785
3 6 5655
3 7 1135
3 8 5150
3 9 3207
3 10 2690
4 1 6366
4 2 3365
4 3 2006
4 4 0
4 5 3760
4 6 5898
4 7 3055
4 8 4807
4 9 1256
4 10 3797
5 1 2916
5 2 1970
5 3 1785
5 4 3760
5 5 0
5 6 5571
5 7 1230
5 8 5631
5 9 4898
5 10 2313
6 1 5281
6 2 3672
6 3 5655
6 4 5898
6 5 5571
6 6 0
6 7 6319
6 8 1766
6 9 5920
6 10 3261
7 1 4129
7 2 2657
7 3 1135
7 4 3055
7 5 1230
7 6 6319
7 7 0
7 8 6057
7 9 4293
7 10 3117
8 1 6210
8 2 3675
8 3 5150
8 4 4807
8 5 5631
8 6 1766
8 7 6057
8 8 0
8 9 4531
8 10 3458
9 1 7319
9 2 4133
9 3 3207
9 4 1256
9 5 4898
9 6 5920
9 7 4293
9 8 4531
9 9 0
9 10 4484
10 1 3097
10 2 504
10 3 2690
10 4 3797
10 5 2313
10 6 3261
10 7 3117
10 8 3458
10 9 4484
10 10 0
